date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-03-12,22.6,23.26,22.91,22.17,2189662.75,0.25,1.1,21.548,21.33,19.504,1989842.78,2300502.06,1579936.99,7.72
2015-03-13,23.3,23.8,22.68,22.22,1923617.0,-0.23,-1.0,21.898,21.498,19.801,2079827.08,2142970.31,1648459.98,6.78
2015-03-16,22.68,23.5,23.15,22.1,2036156.62,0.47,2.07,22.496,21.711,20.087,2141848.85,2030091.08,1687242.8,7.18
2015-03-17,23.69,24.2,23.47,23.1,2334605.25,0.32,1.38,22.974,21.945,20.386,2259515.32,2056436.55,1762909.73,8.23
2015-03-18,23.4,24.0,23.32,22.86,2180401.5,-0.15,-0.64,23.106,22.216,20.675,2132888.62,2107222.58,1846530.75,7.69
2015-03-19,23.22,24.68,24.41,23.11,2630297.25,1.09,4.67,23.406,22.477,21.025,2221015.52,2105429.15,1949656.45,9.27
2015-03-20,24.72,26.82,25.79,23.85,2852053.0,1.38,5.65,24.028,22.963,21.444,2406702.72,2243264.9,2058967.81,10.05
2015-03-23,25.88,27.4,27.05,25.58,2246813.75,1.26,4.89,24.808,23.652,21.927,2448834.15,2295341.5,2144210.84,7.92
2015-03-24,27.27,27.37,26.35,25.65,1925584.25,-0.7,-2.59,25.384,24.179,22.365,2367029.95,2313272.64,2208274.61,6.79
2015-03-25,26.2,27.15,25.82,25.68,1617609.0,-0.53,-2.01,25.884,24.495,22.757,2254471.45,2193680.04,2231188.1,5.7
2015-03-26,25.65,26.63,25.6,25.01,1350943.38,-0.22,-0.85,26.122,24.764,23.047,1998600.68,2109808.1,2205155.08,4.76
2015-03-27,25.59,26.08,25.65,25.46,935521.56,0.05,0.2,26.094,25.061,23.28,1615294.39,2010998.56,2076984.43,3.3
2015-03-30,25.65,26.45,26.12,25.4,1334874.25,0.47,1.83,25.908,25.358,23.535,1432906.49,1940870.32,1985480.7,4.71
2015-03-31,26.5,27.36,25.54,25.49,2165633.25,-0.58,-2.22,25.746,25.565,23.755,1480916.29,1923973.12,1990204.83,7.63
2015-04-01,25.25,26.0,25.72,25.1,1569811.0,0.18,0.7,25.726,25.805,24.011,1471356.69,1862914.07,1985068.32,5.53
2015-04-02,25.8,25.88,25.2,24.91,1483437.38,-0.52,-2.02,25.646,25.884,24.181,1497855.49,1748228.08,1926828.62,5.23
2015-04-03,25.06,25.78,25.5,24.8,1468817.75,0.3,1.19,25.616,25.855,24.409,1604514.73,1609904.56,1926584.73,5.18
2015-04-07,25.95,26.1,25.99,25.38,1687392.62,0.49,1.92,25.59,25.749,24.701,1675018.4,1553962.44,1924651.97,5.95
2015-04-08,26.02,27.76,27.16,25.83,2792557.0,1.17,4.5,25.914,25.83,25.005,1800403.15,1640659.72,1976966.18,9.84
2015-04-09,27.6,29.06,26.61,26.5,2524380.0,-0.55,-2.02,26.092,25.909,25.202,1991316.95,1731336.82,1962508.43,8.9
2015-04-10,26.16,26.5,26.36,25.56,1573653.88,-0.25,-0.94,26.324,25.985,25.375,2009360.25,1753607.87,1931707.98,5.55
2015-04-13,27.7,27.95,27.34,26.47,2042562.12,0.98,3.72,26.692,26.154,25.608,2124109.12,1864311.93,1937655.24,7.2
2015-04-14,27.29,28.08,27.97,26.8,2085280.75,0.63,2.3,27.088,26.339,25.849,2203686.75,1939352.58,1940111.45,7.35
2015-04-15,27.97,27.97,26.17,26.1,1355608.62,-1.8,-6.43,26.89,26.402,25.984,1916297.07,1858350.11,1891161.62,4.78
2015-04-16,25.69,26.66,26.14,25.31,1303910.88,-0.03,-0.12,26.796,26.444,26.125,1672203.25,1831760.1,1847337.08,4.6
2015-04-17,26.3,26.7,26.07,25.63,1385736.5,-0.07,-0.27,26.738,26.531,26.208,1634619.77,1821990.01,1785109.05,4.88
2015-04-20,26.07,26.1,24.63,24.58,1566016.25,-1.44,-5.52,26.196,26.444,26.15,1539310.6,1831709.86,1720807.21,5.52
2015-04-21,24.53,25.85,25.59,24.4,1275217.62,0.96,3.9,25.72,26.404,26.077,1377297.97,1790492.36,1672227.4,4.5
2015-04-22,25.55,27.18,26.9,25.51,2164677.5,1.31,5.12,25.866,26.378,26.104,1539111.75,1727704.41,1684182.07,7.63
2015-04-23,27.18,27.18,26.22,26.0,1612549.5,-0.65,-2.42,25.882,26.339,26.124,1600839.47,1636521.36,1683929.09,5.68
2015-04-24,25.82,25.99,25.31,24.74,1247405.38,-0.91,-3.47,25.73,26.234,26.11,1573173.25,1603896.51,1678752.19,4.4
2015-04-27,25.31,25.8,25.48,25.15,1056959.12,0.17,0.67,25.9,26.048,26.101,1471361.82,1505336.21,1684824.07,3.73
