,code,open,high,low,close
0,601368,7.72,9.26,7.72,
1,300479,14.54,15.87,14.54,
2,300470,41.52,49.82,41.52,
3,300473,37.96,41.41,37.96,
4,002767,17.84,21.41,17.84,
5,002765,9.69,11.04,9.69,
6,000667,6.8,7.43,6.77,
7,601985,5.91,5.91,5.91,
8,600982,12.1,13.26,12.06,
9,000506,14.8,14.8,14.8,
10,002070,16.75,18.43,16.75,
11,002596,18.76,18.76,18.76,
12,600059,18.18,19.97,18.18,
13,600393,15.57,17.01,15.02,
14,002760,13.17,13.17,13.17,
15,300464,17.78,17.78,17.78,
16,000509,12.27,13.5,12.08,
17,002763,22.83,22.83,22.83,
18,600797,22.57,23.6,22.05,
19,002222,22.03,24.26,21.89,
20,600017,9.19,9.99,8.98,
21,600235,18.17,19.98,17.81,
22,002565,14.0,15.26,13.87,
23,300476,24.92,24.92,24.92,
24,002457,19.07,20.97,18.78,
25,300026,26.24,26.24,26.24,
26,600151,16.91,16.91,16.91,
27,600995,15.25,16.8,15.11,
28,000606,15.39,16.8,15.15,
29,000301,10.6,11.64,10.5,
30,300099,27.0,29.32,26.4,
31,002244,23.8,24.6,23.5,
32,600303,12.1,13.29,11.81,
33,000778,12.37,12.96,12.08,
34,600960,19.1,20.98,18.8,
35,002099,32.62,35.26,32.0,
36,002548,25.55,27.68,25.08,
37,002169,33.32,36.58,33.32,
38,002449,21.98,24.17,21.98,
39,002668,37.07,39.33,37.07,
40,300098,31.2,31.2,31.2,
41,600736,16.35,17.47,15.97,
42,600768,30.45,33.4,30.45,
43,000985,30.71,34.17,30.71,
44,002476,17.14,17.14,17.14,
45,002502,34.83,34.83,34.83,
46,300298,41.97,41.97,41.97,
47,600501,33.55,36.7,32.8,
48,600640,32.06,35.27,31.88,
49,603311,47.47,47.47,47.47,
50,300165,45.33,47.69,45.33,
51,600896,10.11,10.11,10.11,
52,000636,18.02,19.34,18.02,
53,002539,45.0,49.45,45.0,
54,300366,39.12,39.12,39.12,
55,000886,10.11,11.1,10.11,
56,600220,10.79,11.87,10.75,
57,002201,22.92,25.06,22.92,
58,002261,61.5,63.2,61.49,
59,300108,22.58,24.4,21.9,
60,300460,62.32,62.32,56.7,
61,002339,49.45,54.41,49.0,
62,600131,14.6,16.05,14.6,
63,000533,13.6,14.95,13.6,
64,002319,29.57,29.57,29.57,
65,600150,62.36,68.6,61.5,
66,600335,34.6,37.93,34.6,
67,600639,36.72,36.72,36.72,
68,000513,86.9,95.65,86.51,
69,002637,33.97,37.05,33.97,
70,603198,48.49,48.49,46.72,
71,000058,18.48,20.23,18.2,
72,000861,21.0,22.98,20.69,
73,002312,61.74,64.1,61.74,
74,002762,45.3,45.3,45.3,
75,300463,114.9,114.9,114.9,
76,000957,23.04,25.18,23.04,
77,002562,27.07,29.8,26.66,
78,002759,49.37,49.37,49.37,
79,300356,78.67,86.54,77.45,
80,300471,85.55,85.55,85.55,
81,600685,69.22,75.99,67.58,
82,603918,39.04,39.04,39.04,
83,002441,35.3,35.3,32.5,
84,002630,34.86,34.86,34.86,
85,300148,36.07,36.07,36.07,
86,603010,56.75,56.75,54.59,
87,002180,66.3,71.27,66.2,
88,002424,95.6,104.37,95.4,
89,300038,59.91,65.55,59.91,
90,300396,53.89,53.89,53.89,
91,300451,149.46,149.46,149.46,
92,603898,124.56,137.49,124.5,
93,300380,143.8,158.61,141.0,
94,300458,123.3,123.3,123.3,
95,300467,152.55,152.55,152.55,
96,300468,84.8,84.8,84.8,
97,600153,23.36,25.52,22.61,
98,600448,13.62,14.96,13.62,
99,600863,7.06,7.81,7.02,
100,601801,36.8,40.26,36.63,
101,603026,24.31,24.31,24.31,
102,603066,19.69,19.69,19.69,
103,603568,46.31,46.31,46.31,
104,603598,32.56,32.56,32.56,
105,603669,48.07,48.07,48.07,
106,000031,15.1,16.72,14.71,
107,000417,17.9,19.14,17.45,
108,002022,54.95,60.5,54.31,
109,002078,8.95,9.79,8.9,
110,002090,44.36,48.84,44.15,
111,002125,28.23,31.02,28.2,
112,002290,61.58,64.13,61.58,
113,002363,34.7,37.95,34.7,
114,002456,54.01,54.01,54.01,
115,002486,9.53,10.45,9.53,
116,002546,35.88,39.05,35.58,
117,002592,59.9,66.22,59.81,
118,002627,37.1,40.37,37.1,
119,002629,13.83,15.07,13.82,
120,002640,111.0,115.5,110.5,
